Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GP/F,0.28152522997293594,0.20755744131828477,0.48345966109627625,0.16553738429532577,1.645040187873195e-2,0.22898459775142976
GP/NF,0.270489601555164,0.2116929370997241,0.4266305190103594,0.11791396807030238,5.686196788962455e-3,0.14998740572898345
IA/F,129.35804446835513,127.36311559344176,132.7345316222527,3.3455955258640717,7.006503401807462e-2,4.158272998223977
IA/NF,238.92172705075305,238.01593265501043,240.07945289025034,1.2933479272066908,2.887920941036537e-2,1.598125020862116
CM/F,1.9998172675087106e-2,1.985419222939993e-2,2.0136900562308574e-2,3.281145890625507e-4,2.542313379890996e-4,4.143345788833809e-4
CM/NF,6.065088631352648e-2,5.955750315239766e-2,6.36154113433063e-2,3.1767905446202435e-3,7.479400900570355e-4,5.537778474312722e-3
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
GP/F,0.14577651338483094,0.1441007001366273,0.14962487357516527,3.6194334385599596e-3,1.0987911083488694e-3,5.367098166063135e-3
GP/NF,0.14570208183011804,0.1445817483498574,0.14753516842722006,2.085058883257283e-3,1.0684347475061016e-3,3.037477372611978e-3
IA/F,97.60193564305882,96.85143729223637,98.15523726257015,0.7308304169456931,0.3765945976558121,0.906006722731105
IA/NF,195.83248859836144,194.9497482550687,196.67310199701024,1.0161691206773595,0.41672014133170876,1.3266383290918604
CM/F,3.907753691461046e-2,3.868850974244534e-2,3.9434392468185496e-2,7.584262619261604e-4,5.845632665930568e-4,1.0761233588521232e-3
CM/NF,6.0992224415691666e-2,5.9462661067069905e-2,6.245220656273117e-2,2.849824289895657e-3,2.1272278475617155e-3,3.8100576409583757e-3
